,grapheme,phoneme,count,relative_freq,relative_freq_log,softmax
319,aux,oʊ,51,0.0027592923226748903,0.0027554924639563365,0.0036210292727340155
320,eau,oʊ,191,0.010333820267272628,0.010280791361190877,0.013510124579434542
321,wr,r,228,0.003170100942687912,0.0031650867668620774,0.004404484861741333
322,nd,n,87,0.0014980112609122372,0.0014968903613171397,0.002013080258046638
323,rrh,r,14,0.0001946553210422402,0.00019463637815352521,0.0002708529162918585
324,sche,ʃ,17,0.0020009416195856874,0.0019989424023369286,0.0022443450621696345
325,she,ʃ,11,0.0012947269303201507,0.001293889494164179,0.0014527354534205699
326,sth,z,2,7.665478517496454e-05,7.665184734702071e-05,9.883088216984396e-05
327,sth,s,3,6.3607836485455e-05,6.360581359286262e-05,8.00302643689771e-05
328,chm,m,119,0.004474357046172357,0.004464376869526066,0.006097425184937788
329,hu,w,8,0.000942507068803016,0.0009420631879009365,0.0011650229921363608
330,mn,m,19,0.0007143931418258385,0.0007141380845122218,0.000975366477626767
331,mn,n,8,0.00013774816192296433,0.0001377386755160028,0.00018523668507476688
332,ia,ɪ,22,0.0004625444147761916,0.00046243747408356717,0.0005834650861852092
333,ia,aɪ,31,0.0027164388363126535,0.0027127559843240397,0.0032339713478407688
334,aw,ɔ,495,0.04079782411604715,0.039987557626009265,0.04839740830343321
335,aw,aʊ,12,0.0035767511177347243,0.003570369755292294,0.00411511446945371
336,awe,ɔ,17,0.0014011373938844474,0.0014001567168215308,0.0016946260370933523
337,aye,aɪ,2,0.0001752541184717841,0.00017523876326285256,0.00020890826255584886
338,aye,eɪ,29,0.0022649172133708214,0.0022623561547073763,0.0026567963778998034
339,dh,d,45,0.0013912075681691708,0.001390240735526418,0.0018436989634208686
340,zh,z,12,0.00045992871104978727,0.00045982297625927283,0.0005928716914013618
341,zh,ʒ,19,0.038,0.03729578474369693,0.04138599760430652
342,cch,k,61,0.0016139273997248385,0.0016126264185038124,0.0018573135585345226
343,kt,t,22,0.0004637241263015893,0.0004636166394972321,0.0006073826654607404
344,gge,ɡ,23,0.001793791920137264,0.0017921849967812444,0.002462437380723925
345,lk,k,155,0.00410096306487459,0.004092577035225136,0.004713552208776924
346,et,eɪ,54,0.004217432052483599,0.004208563611878448,0.00494232375257724
347,owe,aʊ,32,0.009538002980625931,0.009492803411989624,0.010941156057703613
348,owe,oʊ,27,0.0014608018178867068,0.0014597358848628616,0.0019182583290245827
349,nh,n,40,0.0006887408096148217,0.0006885037365117392,0.0009259283881977497
350,sse,s,63,0.0013357645661945551,0.001334873226364995,0.001679567498167301
351,gne,n,12,0.0002066222428844465,0.00020660089944882104,0.00027784546064491916
352,ye,aɪ,38,0.0033298282509638976,0.0033242966489951445,0.0039630103764206484
353,sne,n,7,0.0001205296416825938,0.00012052237856897753,0.00016208349470334303
354,oup,u,5,0.0007044237813468582,0.0007041757913682694,0.0008107159392974288
355,lf,f,50,0.003784151971543177,0.0037770100801359807,0.0047668317167676305
356,oss,ɔ,3,0.00024725954009725544,0.0002472289764952063,0.00029922411945699313
357,tm,m,79,0.0029703714844337495,0.002965968647608596,0.004050906197707361
358,ua,ə,18,0.00020458265139116204,0.0002045617272143694,0.00022838270187333263
